timestamp,S↦S,Spike,K↦S,S↦K,Spike_deg,K↦Spike,K,S,S↦G,K_deg,S_deg,K↦K,G_deg,K_inact,K↦G,K↦K_inact,S↦S_inact,G,S_inact,S↦K_inact,S↦Spike,K↦S_inact
0.0,0.0,66000.0,0.0,0.0,0.0,0.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714000.0,0.0,0.0,0.0,0.0
1.0,0.6202292255044045,61730.58687645321,0.07021000126026374,6.018223636549687,141.61090584059616,390.5957185566798,1195.4913499745799,27367.594788890692,1079.3930228835507,11573.493854811959,7.070800316525221,9590.133702521916,3431.192498555808,6.373107360115081e-7,654.0611788591661,1.079430316275498e-6,0.007131509830482696,708835.3532996844,801.3896774041111,3.2081821008632153e-9,3737.206499141013,0.0020562838729152088
2.0,0.4803998138360966,59027.50673949273,0.04885888453905715,4.187808605360538,484.48648367235074,548.1957139508696,945.1308917513257,24090.290084685246,1465.285593696294,17719.3997308506,12.475869537072255,6655.571726210229,6009.071536074347,5.682003883309204e-7,471.8905241789578,1.194166678002325e-6,0.011658767230450777,706053.7523460597,1486.913588156693,2.5175478625015156e-9,5939.811062886913,0.003016305631259795
3.0,0.4029302260996165,57137.93880887091,0.036016120932346414,3.0869858137312556,946.5770546296991,669.3480322210623,760.638649755314,22065.089090676178,1564.851497288812,22030.86834837219,17.02348708153876,4579.427294040739,8359.180200093957,5.226106970204117e-7,377.1639436789002,1.1650135021892593e-6,0.015106384734146,703698.8043589387,2102.937312408003,2.1208738099189906e-9,7246.136104277834,0.003433109882149546
4.0,0.355886028075438,55749.97641980673,0.026887607130040427,2.3045660363627802,1479.0389365312806,763.0772522103207,604.1840950652031,20738.608310909807,1554.4791016053605,25077.779437729903,21.10446672138073,3126.369012939279,10471.899342204313,4.6851834724590976e-7,299.88626392612,1.0598152788610248e-6,0.018061555634728797,701673.7352922516,2674.8179116951924,1.78703589619174e-9,8007.907391436723,0.0034688215293185087
5.0,0.3249440911200037,54683.406693411394,0.020072373668412063,1.7204275170332906,2051.7916410067246,834.8348036392656,471.99898449952894,19817.49126329272,1508.2269299159238,27228.43492382221,24.917397720099867,2114.0913166629866,12343.819625058955,4.0786400196884656e-7,234.80489349318617,9.161083817889945e-7,0.020758540891175348,699913.1485515374,3216.962382896692,1.4866047855628496e-9,8429.966861946674,0.003259050365223371
6.0,0.3030806021895729,53828.74142039659,0.014879775144514681,1.27536965451806,2645.8986228421713,888.9363939061759,362.2854844897348,19139.77415436173,1455.4216314799262,28738.606845352726,28.570337380871724,1414.066605814709,13997.599109201932,3.451675967747723e-7,180.74490676061455,7.606758921056073e-7,0.023295871399767097,698366.2343525528,3737.8644049607697,1.2150697384917033e-9,8636.423562847292,0.002906590651373856
7.0,0.28660310568216507,53117.112511670086,0.010903961667503344,0.9346026746068039,3249.273733279365,928.9641748625627,273.0071049714318,18612.599024824944,1406.3581649923478,29790.693727028465,32.125059266250716,934.8619822058937,15465.285783938101,2.842401984734093e-7,136.6630344433886,6.113213430799714e-7,0.025714687109810758,696991.6930166455,4242.695542173776,9.730320576310134e-10,8704.649580190375,0.00248628945205315
8.0,0.2734545110215093,52504.02375459359,0.007876203522019941,0.6750919727457163,3854.1415828916474,957.923393017671,201.88292697303817,18180.873886681024,1363.613958766282,30516.566812802834,35.61809322154755,610.7528611567051,16779.614320531517,2.2791079992477095e-7,101.43612373384664,4.782997357062593e-7,0.028031642303914542,695755.3355969525,4734.694799594716,7.621099462289884e-10,8683.911269486878,0.0020517928850694736
9.0,0.2624367836384907,51960.168323812664,0.005599084849994353,0.47991738196317585,4455.497203282883,978.325217390669,146.4954083889552,17810.9950177189,1326.9144098773434,31011.934725959374,39.07143077464053,394.4322321132431,17970.387702241536,1.7806224744552715e-7,73.89302648944198,3.6611508964920943e-7,0.030253071644054035,694628.8048613814,5215.937349763154,5.833158335328288e-10,8606.009255532457,0.0016401667430204878
10.0,0.25282765526270823,51465.94651803363,0.003915871382017893,0.3356459761314213,5050.13376631313,992.2414594206895,104.3854660544257,17481.982284517922,1295.1492369816317,31346.1265405669,42.49837350221931,252.02639752869646,19063.21872890509,1.3569784553953396e-7,52.85290192858189,2.7535232192782416e-7,0.03238101389614411,693588.7791321487,5687.780595114264,4.3632086956199535e-10,8491.678256229214,0.0012745132602948633
11.0,0.24418014601999796,51008.08019277749,0.0026965685889158097,0.2311360662175816,5636.018504939987,1001.3509746622384,73.14492288884729,17180.477326341927,1267.14217124971,31569.08715874834,45.90688492269293,159.509872993617,20079.33480902634,1.0104133796690413e-7,37.162398631981134,2.0425400086123771e-7,0.034415464728436096,692616.3606211136,6151.131300151477,3.192830809958041e-10,8354.550327625551,0.0009658735485007749
12.0,0.23621212210593934,50577.52108235581,0.0018320209035308456,0.15703236929177544,6211.89576539687,1006.9776894079347,50.524893901538,16897.877330634536,1241.9048635413906,31716.3119111212,49.3015582092882,100.14261621582267,21035.745751416205,7.368980033035093e-8,25.740691852629798,1.4993768614719882e-7,0.03635623084159289,691696.6086931729,6606.606067093354,2.2902593587006028e-10,8203.605462835969,0.000716564147769316
13.0,0.228742288275877,50168.05932196104,0.001231789039556631,0.10558373179627047,6777.0215319578,1010.1378891857925,34.52232914854085,16628.577509084367,1218.6808373954043,31812.701642533917,52.68484765690509,62.45628493437112,21945.702987837514,5.281014546319406e-8,17.618230612085544,1.0922560881574116e-7,0.038203531886885814,690817.997944201,7054.634318938045,1.6151409772182396e-10,8044.781256888907,0.0005228577923818486
14.0,0.22165361771785685,49775.419640630185,0.0008233797340614509,0.07057668508180867,7330.990849363218,1011.588248433547,23.44172367758999,16368.903678955043,1196.919478556023,31875.42579431005,56.05783529022425,38.75275030421364,22819.230350108595,3.734638178968403e-8,11.966955535698217,7.913996951157453e-8,0.039957521832388675,689971.883215806,7495.522746114923,1.1243856710379882e-10,7882.001261563576,0.00037718461877842756
15.0,0.2148683949810448,49396.641931936,0.0005503548790127063,0.04717406177359041,7873.622500691171,1011.8770410303205,15.914552079424482,16116.43137174211,1176.230707243119,31916.1446117348,59.42072567108527,23.952111140894345,23663.72346876778,2.619768226931474e-8,8.111577400334566,5.713073756361984e-8,0.04161946040577365,689151.934246611,7929.497698020459,7.765490494961378e-11,7717.858526357715,0.0002709159051242444
16.0,0.20833590208864264,49029.66650600298,0.0003706578406487806,0.03177100019236134,8404.88327860335,1011.3907765110704,10.884890681469123,15869.55641883207,1156.3432712600927,31942.643311634838,62.77316324344613,14.76131111067037,24484.50773455415,1.8345371357315206e-8,5.526061937868045,4.11411993490465e-8,0.043190287233729904,688353.6229322567,8356.732318466811,5.3546486061545675e-11,7554.059438891764,0.00019526699660039117
17.0,0.20202125991517625,48673.05036433356,0.00025388856114460297,0.02176187685439557,8924.836950133296,1010.3950683274503,7.571814805407644,15627.217160544184,1137.0709878759997,31960.034768446818,66.1144446089407,9.079212720643909,25285.33758493153,1.2925544389948127e-8,3.817764464851107,2.958030592413959e-8,0.044672001900157875,687573.7736627273,8777.364244884215,3.714886693014659e-11,7391.717617153915,0.00014269016578373847
